番号,項目,語数
2.3151,書き,87
2.32,芸術,136
2.3200,創作・著述,28
2.3220,芸術・美術,9
2.3230,音楽,99
2.3240,演劇・映画,0
2.33,生活,1119
2.3300,文化・歴史・風俗,18
2.3310,人生・禍福,6
2.3311,処世・出処進退,62
2.3320,労働・作業・休暇,19
2.3321,学事・兵事,0
2.3330,生活・起臥,39
2.3331,食生活,52
2.3332,衣生活,122
2.3333,住生活,68
2.3334,保健・衛生,27
2.3350,冠婚,21
2.3360,行事・式典・宗教的行事,85
2.3370,遊楽,56
2.3371,旅・行楽,1
2.3374,スポーツ,0
2.3380,いたずら・騒ぎ,58
2.3390,身振り,14
2.3391,立ち居,181
2.3392,手足の動作,230
2.3393,口・鼻・目の動作,60
2.34,行為,172
2.3400,義務,4
2.3410,身上,5
2.3421,才能,13
2.3422,威厳・行儀・品行,16
2.3430,行為・活動,112
2.3440,犯罪・罪,2
2.3470,成功・失敗,20
2.35,交わり,451
2.3500,交わり,65
2.3510,集会,2
2.3511,出欠,2
2.3520,応接・送迎,187
2.3522,仲介,7
2.3530,約束,24
2.3531,交渉,8
2.3532,賛否,38
2.3540,協力・参加,0
2.3541,奉仕,3
2.3542,競争,10
2.3543,争い,30
2.3550,平和・治乱,9
2.3551,戦争,9
2.3560,攻防,34
2.3570,勝敗,12
2.3580,軍事,11
2.36,待遇,612
2.3600,支配・政治,26
2.3611,裁判,5
2.3612,刑,5
2.3613,捕縛・釈放,16
2.3620,運営,5
2.3630,人事,78
2.3640,教育・養成,37
2.3650,救護・救援,89
2.3660,請求・依頼,33
2.3670,命令・制約・服従,101
2.3680,待遇,52
2.3681,礼,10
2.3682,賞罰,57
2.3683,脅迫・中傷・愚弄など,98
2.37,経済,184
2.3700,取得,58
2.3701,所有,13
2.3710,経済・収支,4
2.3711,需給,3
2.3720,税,0
2.3730,価格・費用・給与など,1
2.3750,損得,0
2.3760,取引,6
2.3761,売買,1
2.3770,授受,86
2.3780,貸借,6
2.3790,貧富,6
2.38,事業,392
2.3800,事業・業務,1
2.3801,生産・産業,5
2.3810,農業・林業,44
2.3811,牧畜・漁業・鉱業,22
2.3820,製造工業,13
2.3821,印刷・製本,1
2.3822,建設・土木,11
2.3823,建築,29
2.3830,運輸,50
2.3831,医療,3
2.3832,出版・放送,0
2.3833,興行,0
2.3840,裁縫,20
2.3841,染色・洗濯など,12
2.3842,炊事・調理,17
2.3843,掃除など,13
2.3850,技術・設備・修理,52
2.3851,練り・塗り・撃ち・録音・撮影,60
2.3852,扱い・操作・使用,18
2.3860,製造・加工・包装,21
2.5,自然現象,1188
2.50,自然,284
2.5001,エネルギー,0
2.5010,光,69
2.5020,色,81
2.5030,音,89
2.5040,におい,32
2.5050,味,0
2.5060,材質,13
2.51,物質,422
2.5130,水・乾湿,76
2.5140,天災,3
2.5150,気象,6
2.5151,風,79
2.5152,雲,50
2.5153,雨・雪,54
2.5154,天気,16
2.5155,波・潮,27
2.5160,物質の変化,25
2.5161,火,69
2.5170,熱,17
2.52,天地,4
2.5220,天象,4
2.56,身体,29
2.5600,身体,29
2.57,生命,449
2.5701,生,249
2.5702,死,94
2.5710,生理,32
2.5720,障害・けが,4
2.5721,病気・体調,70
2.9,意味不明,5
2.9999,意味不明,5
3,相の類,3129
3.1,抽象的関係,1529
3.10,真偽,96
3.1010,こそあど・他,61
3.1030,真偽・是非,27
3.1040,本体・代理,8
3.11,類,74
3.1101,等級・系列,4
3.1110,関係,21
3.1112,因果,1
3.1113,理由・目的・証拠,4
3.1120,相対,14
3.1130,異同・類似,30
3.12,存在,38
3.1200,存在,18
3.1210,出没,11
3.1230,必然性,9
3.13,様相,599
3.1302,趣・調子,26
3.1331,特徴,127
3.1332,良不良・適不適,70
3.1340,調和・混乱,15
3.1341,弛緩・粗密・繁簡,28
3.1345,美醜,49
3.1346,難易・安危,284
3.14,力,32
3.1400,力,32
3.15,作用,92
3.1500,作用・変化,11
3.1504,連続・反復,9
3.1510,動き,26
3.1511,動揺・回転,10
3.1513,固定・傾き・転倒など,1
3.1520,進行・過程・経由,1
3.1522,走り・飛び・流れなど,5
3.1532,入り・入れ,0
3.1535,包み・覆いなど,0
3.1541,乗り降り・浮き沈み,1
3.1551,統一・組み合わせ,4
3.1552,分割・分裂・分散,8
3.1553,開閉・封,0
3.1560,接近・接触・隔離,3
3.1571,切断,4
3.1584,限定・優劣,9
3.16,時間,187
3.1600,時間,42
3.1611,時機,24
3.1612,毎日・毎度,37
3.1641,現在,3
3.1642,過去,7
3.1643,未来,3
3.1650,順序,7
3.1651,終始,0
3.1660,新旧・遅速,33
3.1670,時間的前後,20
3.1671,即時,11
3.17,空間,13
3.1700,空間・場所,2
3.1730,方向,11
3.18,形,27
3.1800,形,27
3.19,量,371
3.1910,多少,62
3.1911,長短・高低・深浅・厚薄・遠近,69
3.1912,広狭・大小,39
3.1913,速度,25
3.1914,軽重,11
3.1915,寒暖,21
3.1920,程度,97
3.1921,限度,20
3.1931,過不足,0
3.1940,一般・全体・部分,27
3.3,精神および行為,1235
3.30,心,760
3.3000,心,11
3.3001,感覚,7
3.3002,感動・興奮,7
3.3003,飢渇・酔い・疲労・睡眠など,8
3.3011,快・喜び,41
3.3012,恐れ・怒り・悔しさ,53
3.3013,安心・焦燥・満足,60
3.3014,苦悩・悲哀,101
3.3020,好悪・愛憎,87
3.3021,敬意・感謝・信頼など,14
3.3030,表情・態度,125
3.3040,信念・努力・忍耐,39
3.3041,自信・誇り・恥・反省,40
3.3042,欲望・期待・失望,30
3.3045,意志,44
3.3066,判断・推測・評価,16
3.3068,詳細・正確・不思議,58
3.3070,意味・問題・趣旨など,10
3.3075,説・論・主義,0
3.3090,見聞き,9
3.31,言語,25
3.3100,言語活動,23
3.3142,評判,2
3.33,生活,73
3.3300,文化・歴史・風俗,24
3.3310,人生・禍福,23
3.3320,労働・作業・休暇,9
3.3330,生活・起臥,5
3.3390,身振り・立ち居・動作（手足・口・鼻・目）,12
3.34,行為,259
3.3410,身上,29
3.3420,人柄,106
3.3421,才能,56
3.3422,威厳・行儀・品行,42
3.3430,行為・活動,26
3.35,交わり,12
3.3500,交わり,12
3.36,待遇,82
3.3610,公式・公平,9
3.3680,待遇・礼など,73
3.37,経済,24
3.3710,経済・収支,11
3.3790,貧富,13
3.5,自然現象,282
3.50,自然,183
3.5000,自然,0
3.5010,光,34
3.5020,色,27
3.5030,音,96
3.5040,におい,7
3.5050,味,5
3.5060,材質,14
3.51,物質,30
3.5130,水・乾湿,10
3.5150,気象,18
3.5161,火,1
3.5170,熱,1
3.52,天地,13
3.5230,地,13
3.53,生物,0
3.5300,生物,0
3.56,身体,23
3.5600,身体,23
3.57,生命,33
3.5701,生,17
3.5710,生理・病気など,16
3.9,枕詞,83
3.9999,枕詞,83
4,その他の類,267
4.11,接続,75
4.1110,累加,12
4.1120,展開,16
4.1130,反対,9
4.1140,選択,6
4.1150,換言,7
4.1160,補充,2
4.1170,転換,8
4.1180,理由,15
4.30,感動,45
4.3000,感動,9
4.3010,間投,27
4.3020,掛け声,9
4.31,判断,61
4.3100,判断,32
4.3110,判定,7
4.3120,予期,9
4.3130,希望,4
4.3140,仮定,8
4.3160,驚き,1
4.32,呼び掛け,42
4.3200,呼び掛け・指図,23
4.3210,応答,19
4.33,挨拶,32
4.3300,万歳・アーメンなど,30
4.3310,挨拶語,1
4.3320,手紙用語など,1
4.50,動物の鳴き声,12
4.5000,動物の鳴き声,12
9,意味不明,18
9.9999,意味不明,18
